,sigma,sigma.err,ampl,ampl.err,fval,chi2,chi2dof,filename,humidity,filter,obsmjd,ccdid,amp_id,gain,readnoi,darkcur,magzp,magzpunc,magzprms,clrcoeff,clrcounc,zpclrcov,zpmed,zpavg,zprmsall,clrmed,clravg,clrrms,qid,rcid,seeing,maglim,status,filterid,fieldid,moonalt,moonillf,target_x,target_y,data_hasnan,F0,F0.err,Fratio,Fratio.err,upper_limit,mag,mag_err
0,19.242480984984912,0.5488825064022128,-116.90099451719021,111.54490033490093,5470.065911846753,623.7103271484375,1.0011401719878612,ztf_20180331507141_000634_zg_c10_o.fits,9.0,ZTF g,58208.5071875,10,3,5.2240073653396,10.0,1.0,26.325,1.38293e-05,0.040823000000000005,-0.007367,4.2610699999999995e-05,-2.273e-05,26.120001000000002,26.120819,0.040849,0.474,0.5329999999999999,0.200076,4,39,3.063,19.28,1,1,634,21.1417,1.0,1795.9310277235033,857.8353491275274,False,33884415613.920204,431594.4764446504,-3.4499929362560886e-09,3.291923390852723e-09,19.28,99.0,99.0
1,14.209363513391551,0.3972588509139133,45.469378493284246,88.9696951842341,5091.142614794897,623.8716430664062,1.001399106045596,ztf_20180401466030_000634_zg_c10_o.fits,17.0,ZTF g,58209.46604169999,10,3,6.015479837440321,10.0,1.0,26.325,1.1895899999999999e-05,0.041009,-0.009472,3.64482e-05,-1.946e-05,26.271998999999997,26.273269,0.041054,0.47700000000000004,0.534,0.202971,4,39,3.491,19.43,1,1,634,37.4818,-0.98926,1787.4302739843774,874.1990912858687,False,33884415613.920204,371255.5756500992,1.341896493401668e-09,2.625681853255243e-09,19.43,99.0,99.0
2,13.2811551499278,0.3701720793775727,-4.849138366847797,86.83372883043268,5006.6410758575985,623.81103515625,1.0013018220806582,ztf_20180401486088_000634_zg_c10_o.fits,17.0,ZTF g,58209.4860995,10,3,6.04461588906839,10.0,1.0,26.325,1.2066199999999998e-05,0.041108,-0.003774,3.6440700000000005e-05,-1.957e-05,26.278999,26.279364,0.041115,0.47700000000000004,0.537,0.206641,4,39,3.6910000000000003,19.41,1,1,634,32.6954,-0.988815,1788.9766567958047,874.3070558177353,False,33884415613.920204,376570.4172789975,-1.431082188962321e-10,2.562645017102696e-09,19.41,99.0,99.0
3,20.6148123313437,0.5753615451246076,59.99464288571031,101.76010723966446,5556.2387729190295,623.7883911132812,1.001265475302217,ztf_20180402363681_000634_zg_c10_o.fits,25.0,ZTF g,58210.36370369999,10,3,4.972869250898361,10.0,1.0,26.325,1.0535e-05,0.038888,-0.037801999999999995,3.22718e-05,-1.723e-05,26.066,26.064638000000002,0.039643,0.474,0.534,0.20373,4,39,2.6189999999999998,19.52,1,1,634,46.3351,-0.9608110000000001,1777.6818960718426,843.4048021170684,False,33884415613.920204,328783.6556690789,1.7705674363486337e-09,3.0031536739717312e-09,19.52,99.0,99.0
4,15.096543078925949,0.4273106541953462,58.3803196438136,66.50504272937181,5166.645511386744,623.6345825195312,1.0010185915241272,ztf_20180402405162_000634_zg_c10_o.fits,33.0,ZTF g,58210.4051736,10,3,5.699711439837019,10.0,1.0,26.325,6.939700000000001e-06,0.037332,-0.02171,1.95236e-05,-1.078e-05,26.214001,26.213038,0.03765,0.48100000000000004,0.552,0.224688,4,39,2.253,20.05,1,1,634,47.0504,-0.9590879999999999,1783.0422019426514,856.4455583689221,False,33884415613.920204,216579.01616010506,1.722925379885558e-09,1.9627029572585404e-09,20.05,99.0,99.0
5,13.642877690930426,0.3876333386916565,-67.09305382184361,62.691581372743066,5040.125026527391,623.6990966796875,1.0011221455532704,ztf_20180402428333_000634_zg_c10_o.fits,29.0,ZTF g,58210.4283449,10,3,5.86836001975273,10.0,1.0,26.325,6.438300000000001e-06,0.036045999999999995,-0.013494999999999998,1.7837e-05,-9.92e-06,26.246,26.245902,0.036176,0.483,0.556,0.22745300000000002,4,39,2.283,20.08,1,1,634,45.5129,-0.9581149999999999,1784.6079295173677,863.7613750745985,False,33884415613.920204,200930.97392446423,-1.9800563948424958e-09,1.8501597338527186e-09,20.08,99.0,99.0
6,12.111408809614735,0.33864285726398824,-90.39572734020588,58.02402717179877,4891.299267871079,623.7285766601562,1.0011694649440708,ztf_20180402448507_000634_zg_c10_o.fits,29.0,ZTF g,58210.4485301,10,3,5.94905390857201,10.0,1.0,26.325,6.0390999999999995e-06,0.034801,-0.008787,1.69951e-05,-9.38e-06,26.261,26.261028999999997,0.034857,0.48100000000000004,0.552,0.22481399999999999,4,39,2.418,20.08,1,1,634,43.1513,-0.9572799999999999,1788.5818197414999,867.1013381257793,False,33884415613.920204,188472.4608401646,-2.6677670457763485e-09,1.7124104436418301e-09,20.08,99.0,99.0
7,11.999652111540072,0.349151699026742,145.18220836437743,54.53859730824311,4879.789503278947,623.8045043945312,1.0012913393170646,ztf_20180402463079_000634_zg_c10_o.fits,28.0,ZTF g,58210.463148099996,10,3,5.96848063781759,10.0,1.0,26.325,6.1786000000000004e-06,0.035705,-0.017597,1.72516e-05,-9.57e-06,26.264,26.263483,0.035923000000000004,0.484,0.555,0.22489699999999999,4,39,2.219,20.2,1,1,634,40.9272,-0.9566600000000001,1786.7905400387133,871.3701706853401,False,33884415613.920204,192826.07450564505,4.28463072872753e-09,1.6095481160399801e-09,20.2,99.0,99.0
8,12.792752249372608,0.3638691409194704,18.169678943958427,61.79800587034987,4959.786517988226,623.79638671875,1.0012783093398876,ztf_20180402464074_000634_zg_c10_o.fits,28.0,ZTF g,58210.4640972,10,3,5.975885348549481,10.0,1.0,26.325,6.7699e-06,0.036919,-0.012697,1.91492e-05,-1.056e-05,26.264999,26.265037,0.037027,0.48100000000000004,0.551,0.222635,4,39,2.448,20.06,1,1,634,40.7695,-0.9566110000000001,1786.5906593234604,871.520903818302,False,33884415613.920204,211279.77888126217,5.362252414497614e-10,1.8237884511446677e-09,20.06,99.0,99.0
9,11.347405850249555,0.3321460271360968,67.67860927619634,53.99692949940714,4809.720591189422,623.6204833984375,1.0009959605111356,ztf_20180402485035_000634_zg_c10_o.fits,28.0,ZTF g,58210.485046300004,10,3,6.0183050063554,10.0,1.0,26.325,6.0871000000000006e-06,0.035391000000000006,-0.022084,1.69862e-05,-9.42e-06,26.271998999999997,26.27148,0.03574,0.484,0.5539999999999999,0.22566399999999998,4,39,2.356,20.16,1,1,634,36.9239,-0.9557110000000001,1790.2171556746116,872.1381698813057,False,33884415613.920204,189970.47844549123,1.9973373614386018e-09,1.593562365542393e-09,20.16,99.0,99.0
