,obsmjd,telescope,band,mag,mag_err,alert
13,58709.84,WISE,W1,17.17738077921026,0.11458895654929929,True
14,58910.79,WISE,W1,16.494227117064547,0.07164018799047972,True
15,59074.01,WISE,W1,16.467968896776775,0.0870838883013255,True
29,58709.84,WISE,W2,17.080575253854242,0.2327678841390206,True
30,58910.79,WISE,W2,16.366221565200625,0.10998424541852993,True
31,59074.01,WISE,W2,16.19536388126985,0.11473411236132523,True
