,obsmjd_start,obsmjd_end,obsmjd,flux
0,58921.143722419,58922.8105520023,58921.9771372107,2.50E-14
1,59104.6477857755,59106.3147302083,59105.4812579919,2.90E-14
2,59463.231223,59466.981419,59465.106321,5.30E-14
