temp1,temp1_chisq,temp2,temp2_chisq,scale1,scale1_chisq,scale2,scale2_chisq
,,,,1.80E+23,20.9393531403371,,
,,1600,23.3812330751688,1.90E+23,20.2848321690508,,
11000,20.39226872459,1650,21.2486148857788,2.00E+23,19.7990141517247,7.00E+19,21.2118134488888
11100,20.1030059949726,1670,20.6023247391977,2.10E+23,19.4705212612978,7.50E+19,20.2981730561936
11500,19.3603047541785,1700,19.864341371059,2.28E+23,19.2431204101297,8.00E+19,19.6934022257554
11730.7589,19.2431204101297,1762.35471,19.2431204101297,2.40E+23,19.3294278655559,9.02E+19,19.2431204101297
12000,19.4052153983059,1800,19.4695748736802,2.70E+23,20.2733500159435,1.00E+20,19.5768337404081
12500,20.5915154304408,1840,20.1979153414341,2.80E+23,20.7933441668912,1.10E+20,20.4792569620859
12800,21.8732222074566,1850,20.4566007290398,,,1.20E+20,21.7909834058217
13000,22.9702127333533,1900,22.1907900534767,,,1.30E+20,23.3940055712291
