#Wavelength[A] Flux[erg/s/cm^2/A]
3680.334 4.7527200000000004e-18
3682.4282 1.4387700000000002e-18
3684.5227 9.76822e-19
3686.6177 6.0947300000000004e-18
3688.7129 2.5656500000000003e-18
3690.8083 4.00259e-18
3692.9043 1.07716e-18
3695.0005 2.7772200000000004e-18
3697.0972 3.71384e-18
3699.1941 5.37824e-18
3701.2915 1.3137600000000002e-18
3703.3892 4.0097e-18
3705.4873 1.90004e-18
3707.5857 -2.68582e-19
3709.6843 2.1438e-18
3711.7834 3.14943e-19
3713.8828 3.54125e-18
3715.9827 2.85579e-18
3718.0828 2.5135100000000003e-18
3720.1831 4.3017100000000005e-18
3722.2839 2.5444200000000004e-18
3724.3853 6.351460000000001e-18
3726.4868 2.4641100000000004e-18
3728.5886 2.1462400000000003e-18
3730.6907 1.25027e-18
3732.7932 2.3396700000000004e-18
3734.8962 2.5183000000000003e-18
3736.9995 2.2691400000000002e-18
3739.1028 3.29383e-18
3741.2068 4.3473400000000005e-18
3743.311 1.6447700000000001e-18
3745.4155 3.1309000000000004e-18
3747.5205 1.4301600000000002e-18
3749.6257 3.5790400000000005e-18
3751.7312 2.47147e-19
3753.8372 -8.22006e-22
3755.9436 -5.0104600000000005e-19
3758.05 2.6681500000000003e-18
3760.157 9.23983e-19
3762.2642 3.961300000000001e-18
3764.3718 3.0857900000000004e-18
3766.4797 4.07025e-18
3768.5879 1.3765200000000002e-18
3770.6965 2.7876800000000003e-18
3772.8054 2.30107e-18
3774.9146 2.6830000000000003e-18
3777.0242 3.4684700000000005e-18
3779.134 8.35979e-19
3781.2441 2.88519e-18
3783.3547 2.4825e-18
3785.4656 2.22424e-18
3787.5767 2.9429300000000003e-18
3789.6882 2.8876900000000003e-18
3791.8 2.12324e-18
3793.9121 2.1296300000000002e-18
3796.0247 2.9646900000000004e-18
3798.1375 5.20813e-19
3800.2505 3.0960400000000004e-18
3802.364 2.26222e-18
3804.4775 2.1295e-18
3806.5918 3.1733100000000004e-18
3808.7061 3.0273900000000004e-18
3810.8208 3.4134900000000002e-18
3812.9358 4.11049e-18
3815.051 7.43895e-19
3817.1665 5.019980000000001e-18
3819.2827 2.6261900000000002e-18
3821.3987 3.1036e-18
3823.5154 2.7155300000000003e-18
3825.6323 2.5906300000000003e-18
3827.7495 5.9633000000000005e-18
3829.8669 2.3418200000000004e-18
3831.9849 1.4305600000000002e-18
3834.1028 3.87706e-18
3836.2212 3.05213e-18
3838.3401 2.8268100000000004e-18
3840.459 3.8043600000000006e-18
3842.5784 3.8914100000000005e-18
3844.698 4.886420000000001e-18
3846.8181 4.0379400000000004e-18
3848.9382 2.76965e-18
3851.0588 -3.42823e-19
3853.1797 2.93061e-18
3855.3008 2.05216e-18
3857.4224 2.8119800000000003e-18
3859.5442 2.61563e-18
3861.6663 1.8351e-18
3863.7886 6.027580000000001e-18
3865.9114 3.61549e-18
3868.0342 5.031640000000001e-18
3870.1575 3.2708600000000003e-18
3872.281 2.92542e-18
3874.405 2.1322200000000004e-18
3876.5291 8.33704e-19
3878.6536 2.8185500000000003e-18
3880.7783 4.3828800000000005e-18
3882.9033 2.53253e-18
3885.0288 2.50361e-18
3887.1543 3.82342e-18
3889.2803 -4.64392e-19
3891.4065 2.1010400000000003e-18
3893.533 2.9902500000000003e-18
3895.6599 4.00398e-18
3897.7869 2.6377700000000003e-18
3899.9143 3.83796e-18
3902.042 2.7635300000000003e-18
3904.1699 2.9057600000000002e-18
3906.2981 4.6673900000000006e-18
3908.4265 6.7507900000000006e-18
3910.5554 2.3700400000000002e-18
3912.6846 4.95551e-18
3914.814 7.289320000000001e-18
3916.9436 7.18076e-18
3919.0735 3.23215e-18
3921.2039 3.25418e-18
3923.3342 3.9128600000000005e-18
3925.4651 3.1144800000000004e-18
3927.5962 2.8869300000000004e-18
3929.7275 5.460870000000001e-18
3931.8591 2.8985800000000003e-18
3933.9912 2.38795e-19
3936.1233 4.604610000000001e-18
3938.2559 1.34938e-18
3940.3884 4.65222e-18
3942.5215 3.1500100000000003e-18
3944.6548 2.4709500000000003e-18
3946.7886 3.495430000000001e-18
3948.9224 3.81627e-18
3951.0564 3.0993100000000003e-18
3953.1909 4.04382e-18
3955.3254 4.0991100000000005e-18
3957.4604 4.7427200000000004e-18
3959.5957 2.6583300000000003e-18
3961.7312 1.3734200000000002e-18
3963.8669 2.5422100000000004e-18
3966.0029 2.1641000000000003e-18
3968.1394 4.49233e-18
3970.2759 3.945100000000001e-18
3972.4128 4.1789800000000004e-18
3974.5498 2.8508300000000003e-18
3976.6873 3.3011600000000005e-18
3978.825 5.91166e-18
3980.9629 4.3456e-18
3983.1011 4.64415e-18
3985.2395 5.9921100000000004e-18
3987.3782 -4.49041e-19
3989.5171 3.0711500000000004e-18
3991.6565 1.213e-18
3993.7959 3.05545e-18
3995.9355 3.2118700000000002e-18
3998.0757 2.6537900000000003e-18
4000.2158 4.861620000000001e-18
4002.3564 4.3729400000000006e-18
4004.4973 2.9022700000000004e-18
4006.6384 2.4114700000000002e-18
4008.7798 3.72593e-18
4010.9214 5.1408300000000004e-18
4013.063 2.9458400000000003e-18
4015.2051 3.921870000000001e-18
4017.3477 2.4964200000000003e-18
4019.4902 4.94022e-18
4021.6331 1.9800300000000002e-18
4023.7761 1.6029500000000002e-18
4025.9194 2.97084e-18
4028.0632 3.6006700000000004e-18
4030.207 2.9861600000000002e-18
4032.3513 4.6483200000000004e-18
4034.4956 4.04537e-18
4036.6401 3.8298800000000005e-18
4038.7852 3.1638900000000004e-18
4040.9302 3.66859e-18
4043.0757 5.11413e-18
4045.2212 2.57438e-18
4047.3672 1.46314e-18
4049.5132 1.81178e-18
4051.6597 5.5682e-18
4053.8064 4.52277e-18
4055.9531 3.29678e-18
4058.1003 3.91474e-18
4060.2476 3.93684e-18
4062.3953 3.22067e-18
4064.5432 3.9000400000000005e-18
4066.6912 3.74406e-18
4068.8396 4.01543e-18
4070.988 2.3651900000000002e-18
4073.137 3.3937000000000003e-18
4075.2859 3.3439900000000003e-18
4077.4353 4.34756e-18
4079.5847 4.22794e-18
4081.7346 3.59688e-18
4083.8845 4.21931e-18
4086.0349 2.1989000000000003e-18
4088.1853 1.80782e-18
4090.3362 4.8799300000000005e-18
4092.4871 4.16386e-18
4094.6382 6.2644800000000006e-18
4096.79 3.6621100000000005e-18
4098.9414 2.39887e-18
4101.0933 4.95192e-18
4103.2456 3.6787500000000006e-18
4105.3979 4.6808900000000005e-18
4107.5503 1.9422500000000002e-18
4109.7031 4.62276e-18
4111.8564 3.1844400000000003e-18
4114.0098 2.56266e-18
4116.1631 3.4110200000000004e-18
4118.3169 2.46614e-18
4120.4712 3.10412e-18
4122.6255 3.3979500000000005e-18
4124.7798 3.0031300000000002e-18
4126.9346 3.28085e-18
4129.0894 2.49585e-18
4131.2446 3.38869e-18
4133.3999 4.2332100000000004e-18
4135.5552 3.1460500000000003e-18
4137.7114 5.303900000000001e-18
4139.8672 5.310220000000001e-18
4142.0234 3.7318300000000004e-18
4144.1802 4.23375e-18
4146.3369 3.60896e-18
4148.4937 1.2063700000000002e-18
4150.6509 4.0025700000000006e-18
4152.8081 3.2476400000000005e-18
4154.9658 4.72365e-18
4157.1235 2.96983e-18
4159.2817 4.09779e-18
4161.4399 3.3654300000000002e-18
4163.5986 3.2377e-18
4165.7573 3.60825e-18
4167.916 4.006660000000001e-18
4170.0752 6.697470000000001e-18
4172.2344 3.77494e-18
4174.394 1.83464e-18
4176.5542 6.179420000000001e-18
4178.7139 4.72805e-18
4180.874 4.15457e-18
4183.0347 4.7855000000000005e-18
4185.1953 3.42947e-18
4187.356 5.10529e-18
4189.5171 5.14113e-18
4191.6787 2.86806e-18
4193.8398 4.4407900000000005e-18
4196.0015 4.3498600000000005e-18
4198.1636 1.93444e-18
4200.3257 4.9148500000000005e-18
4202.4878 4.67521e-18
4204.6504 3.9664100000000005e-18
4206.8135 4.32395e-18
4208.9761 5.20225e-18
4211.1392 4.41137e-18
4213.3027 3.89896e-18
4215.4663 7.00046e-18
4217.6304 5.640860000000001e-18
4219.7944 5.215910000000001e-18
4221.9585 4.861350000000001e-18
4224.1226 5.280080000000001e-18
4226.2876 4.2304e-18
4228.4521 2.9174800000000002e-18
4230.6172 3.7142600000000006e-18
4232.7822 4.63987e-18
4234.9478 2.7603100000000004e-18
4237.1133 3.63985e-18
4239.2793 2.40582e-18
4241.4453 1.7816300000000002e-18
4243.6113 3.11805e-18
4245.7778 3.25387e-18
4247.9443 3.6309600000000004e-18
4250.1113 3.53681e-18
4252.2783 4.202140000000001e-18
4254.4453 5.194160000000001e-18
4256.6128 3.5711500000000004e-18
4258.7803 2.53529e-18
4260.9482 4.06599e-18
4263.1162 3.1201900000000004e-18
4265.2847 1.25816e-18
4267.4531 2.7664200000000004e-18
4269.6216 4.603e-18
4271.79 4.2706500000000005e-18
4273.959 3.3163700000000003e-18
4276.1284 2.8390200000000003e-18
4278.2979 2.52921e-18
4280.4673 5.4640500000000006e-18
4282.6367 5.44831e-18
4284.8066 3.4247500000000002e-18
4286.9771 4.6878900000000006e-18
4289.147 7.09052e-18
4291.3179 4.79189e-18
4293.4883 3.7145600000000005e-18
4295.6592 3.11032e-18
4297.8301 2.28214e-18
4300.0015 3.2158100000000004e-18
4302.1729 4.8267400000000004e-18
4304.3447 2.9605100000000003e-18
4306.5161 4.79545e-18
4308.688 4.9968e-18
4310.8604 3.0061200000000004e-18
4313.0327 2.7716600000000003e-18
4315.2051 3.5645600000000005e-18
4317.3779 5.287290000000001e-18
4319.5508 2.6698000000000002e-18
4321.7236 5.46955e-18
4323.897 5.385370000000001e-18
4326.0703 4.100200000000001e-18
4328.2441 3.58964e-18
4330.418 2.9856e-18
4332.5918 3.749710000000001e-18
4334.7661 5.233650000000001e-18
4336.9404 4.16771e-18
4339.1147 2.2976600000000004e-18
4341.2896 5.1109e-18
4343.4644 3.2973800000000004e-18
4345.6392 3.16497e-18
4347.8145 3.6991900000000006e-18
4349.9897 5.43535e-18
4352.1655 5.03374e-18
4354.3413 4.722060000000001e-18
4356.5171 6.4741100000000006e-18
4358.6929 5.725860000000001e-18
4360.8691 6.04267e-18
4363.0459 4.91501e-18
4365.2222 7.016560000000001e-18
4367.3989 5.750400000000001e-18
4369.5762 6.005060000000001e-18
4371.7529 5.969640000000001e-18
4373.9302 6.2743900000000006e-18
4376.1079 4.8127600000000006e-18
4378.2852 7.425800000000001e-18
4380.4629 4.9066600000000005e-18
4382.6411 6.28606e-18
4384.8193 5.34082e-18
4386.9976 5.0290700000000005e-18
4389.1758 5.18988e-18
4391.3545 6.25743e-18
4393.5332 4.5384900000000004e-18
4395.7119 5.92254e-18
4397.8911 5.0319200000000004e-18
4400.0703 5.08741e-18
4402.25 4.265330000000001e-18
4404.4292 5.2161e-18
4406.6094 4.70799e-18
4408.7891 4.35441e-18
4410.9692 5.671210000000001e-18
4413.1494 6.55099e-18
4415.3296 7.41317e-18
4417.5103 6.6027500000000006e-18
4419.6909 8.480710000000001e-18
4421.8716 6.237000000000001e-18
4424.0527 7.269200000000001e-18
4426.2339 6.30546e-18
4428.4155 6.60095e-18
4430.5967 7.15336e-18
4432.7783 8.273400000000001e-18
4434.96 5.44882e-18
4437.1421 4.94975e-18
4439.3242 7.39668e-18
4441.5063 6.4863400000000004e-18
4443.689 6.39642e-18
4445.8716 7.91907e-18
4448.0542 7.93936e-18
4450.2373 4.54785e-18
4452.4199 4.96176e-18
4454.603 5.12443e-18
4456.7866 7.706160000000001e-18
4458.9702 6.8446600000000005e-18
4461.1538 7.39249e-18
4463.3374 5.0595700000000004e-18
4465.5215 6.92747e-18
4467.7056 7.75556e-18
4469.8896 8.395920000000001e-18
4472.0737 6.56004e-18
4474.2583 7.17507e-18
4476.4429 7.28622e-18
4478.6279 6.52328e-18
4480.813 6.83289e-18
4482.9976 7.50342e-18
4485.1831 6.5210500000000004e-18
4487.3682 5.240350000000001e-18
4489.5537 4.02751e-18
4491.7397 5.89406e-18
4493.9253 4.86547e-18
4496.1113 6.713110000000001e-18
4498.2974 7.67011e-18
4500.4834 8.3505e-18
4502.6699 7.89806e-18
4504.8564 8.55266e-18
4507.043 6.7608200000000005e-18
4509.23 5.494810000000001e-18
4511.4165 7.29133e-18
4513.604 7.575070000000001e-18
4515.791 7.057560000000001e-18
4517.978 8.484030000000001e-18
4520.1655 7.60229e-18
4522.3535 7.42706e-18
4524.541 8.266380000000001e-18
4526.729 6.91608e-18
4528.917 7.69706e-18
4531.105 8.693010000000001e-18
4533.293 6.77246e-18
4535.4814 7.27441e-18
4537.6699 6.89383e-18
4539.8589 7.221040000000001e-18
4542.0474 9.10269e-18
4544.2363 6.86618e-18
4546.4253 6.95649e-18
4548.6147 8.977400000000001e-18
4550.8037 7.64121e-18
4552.9932 7.72267e-18
4555.1831 6.99857e-18
4557.3726 8.257130000000001e-18
4559.5625 8.045960000000001e-18
4561.7524 8.27699e-18
4563.9424 6.15828e-18
4566.1323 5.210150000000001e-18
4568.3228 6.808690000000001e-18
4570.5132 7.94037e-18
4572.7036 7.97057e-18
4574.8945 8.80607e-18
4577.0854 7.120040000000001e-18
4579.2764 6.31674e-18
4581.4673 7.64526e-18
4583.6582 7.45649e-18
4585.8496 7.725190000000001e-18
4588.041 6.874050000000001e-18
4590.2324 8.270200000000001e-18
4592.4243 7.54822e-18
4594.6162 7.29132e-18
4596.8081 6.2416100000000005e-18
4599.0 7.504960000000001e-18
4601.1919 6.32807e-18
4603.3843 6.884230000000001e-18
4605.5767 6.188910000000001e-18
4607.769 6.551060000000001e-18
4609.9614 6.225050000000001e-18
4612.1543 4.72315e-18
4614.3472 5.2601500000000005e-18
4616.54 6.46294e-18
4618.7329 6.894080000000001e-18
4620.9263 5.8060000000000005e-18
4623.1196 6.6669e-18
4625.3125 4.6937700000000004e-18
4627.5063 7.04749e-18
4629.6997 4.5613300000000005e-18
4631.8936 5.300520000000001e-18
4634.0874 7.323500000000001e-18
4636.2812 4.64424e-18
4638.4751 5.60849e-18
4640.6694 3.4636800000000004e-18
4642.8633 3.98994e-18
4645.0581 6.7501700000000005e-18
4647.2524 6.12497e-18
4649.4468 5.6465700000000005e-18
4651.6416 6.93836e-18
4653.8364 6.299070000000001e-18
4656.0312 7.379050000000001e-18
4658.2261 7.374420000000001e-18
4660.4214 5.93038e-18
4662.6162 7.60406e-18
4664.8115 7.39982e-18
4667.0068 6.02611e-18
4669.2026 6.727820000000001e-18
4671.3979 6.0016300000000005e-18
4673.5938 5.9402500000000004e-18
4675.7896 4.883630000000001e-18
4677.9854 6.6834500000000004e-18
4680.1812 6.0503700000000006e-18
4682.3774 5.437910000000001e-18
4684.5737 5.76893e-18
4686.77 6.446010000000001e-18
4688.9663 7.42392e-18
4691.1626 6.615710000000001e-18
4693.3594 5.67995e-18
4695.5557 8.451400000000001e-18
4697.7524 6.831720000000001e-18
4699.9492 5.66847e-18
4702.1465 6.969560000000001e-18
4704.3433 5.50145e-18
4706.5405 6.264090000000001e-18
4708.7378 6.529970000000001e-18
4710.9351 6.1468500000000005e-18
4713.1323 6.2645700000000006e-18
4715.3296 6.1848300000000004e-18
4717.5273 5.30508e-18
4719.7251 6.5102e-18
4721.9229 5.832990000000001e-18
4724.1206 5.914900000000001e-18
4726.3184 6.127820000000001e-18
4728.5166 5.227510000000001e-18
4730.7144 7.411320000000001e-18
4732.9126 5.9990800000000004e-18
4735.1108 5.6068e-18
4737.3091 5.996e-18
4739.5078 6.849630000000001e-18
4741.7061 7.20796e-18
4743.9048 6.275210000000001e-18
4746.1035 6.6108e-18
4748.3022 5.01202e-18
4750.501 5.96179e-18
4752.6997 6.3482600000000006e-18
4754.8989 5.791400000000001e-18
4757.0981 5.9041700000000005e-18
4759.2969 6.81963e-18
4761.4966 7.772480000000001e-18
4763.6958 7.13252e-18
4765.895 5.604e-18
4768.0947 5.272040000000001e-18
4770.2939 6.640860000000001e-18
4772.4937 6.710760000000001e-18
4774.6934 6.88478e-18
4776.8931 7.65229e-18
4779.0928 6.546790000000001e-18
4781.293 6.4544400000000006e-18
4783.4927 5.35723e-18
4785.6929 5.58552e-18
4787.8931 6.047900000000001e-18
4790.0933 6.7643800000000005e-18
4792.2935 6.6309700000000004e-18
4794.4937 6.1958300000000006e-18
4796.6943 5.91718e-18
4798.8945 6.525760000000001e-18
4801.0952 6.1467900000000006e-18
4803.2959 8.392830000000001e-18
4805.4966 6.1169e-18
4807.6973 5.657680000000001e-18
4809.8979 7.09366e-18
4812.0991 8.30243e-18
4814.2998 6.43662e-18
4816.501 6.6959100000000004e-18
4818.7021 7.20089e-18
4820.9033 6.861560000000001e-18
4823.1045 5.9506300000000005e-18
4825.3057 7.354050000000001e-18
4827.5068 4.63771e-18
4829.7085 7.68952e-18
4831.9097 6.367270000000001e-18
4834.1113 6.0682600000000006e-18
4836.313 5.39562e-18
4838.5146 5.596420000000001e-18
4840.7163 7.036980000000001e-18
4842.918 8.856610000000001e-18
4845.1196 7.32543e-18
4847.3218 5.876390000000001e-18
4849.5234 6.59e-18
4851.7256 8.552400000000001e-18
4853.9277 8.43014e-18
4856.1294 7.147390000000001e-18
4858.3315 7.61066e-18
4860.5337 6.0485300000000006e-18
4862.7363 7.62378e-18
4864.9385 7.831650000000001e-18
4867.1406 6.14306e-18
4869.3433 5.85873e-18
4871.5454 6.3688800000000006e-18
4873.748 6.8388200000000004e-18
4875.9507 5.294700000000001e-18
4878.1533 7.285350000000001e-18
4880.356 6.18762e-18
4882.5586 5.866840000000001e-18
4884.7612 6.265630000000001e-18
4886.9639 6.75074e-18
4889.167 7.747680000000001e-18
4891.3696 8.16295e-18
4893.5728 7.220080000000001e-18
4895.7759 5.0718200000000005e-18
4897.9785 6.07035e-18
4900.1816 6.683290000000001e-18
4902.3848 7.05497e-18
4904.5879 7.07101e-18
4906.791 4.20557e-18
4908.9946 4.03344e-18
4911.1978 5.74534e-18
4913.4009 5.87543e-18
4915.604 6.1539400000000006e-18
4917.8076 5.6925800000000006e-18
4920.0112 7.35627e-18
4922.2144 5.57235e-18
4924.418 3.9465000000000005e-18
4926.6216 6.9286500000000005e-18
4928.8252 5.5036900000000005e-18
4931.0288 5.1478000000000004e-18
4933.2324 5.9843300000000006e-18
4935.436 6.1082800000000006e-18
4937.6396 5.26778e-18
4939.8433 7.439080000000001e-18
4942.0469 8.2313e-18
4944.251 3.9174300000000004e-18
4946.4546 6.33311e-18
4948.6587 5.39983e-18
4950.8623 6.20569e-18
4953.0664 5.22429e-18
4955.27 5.880870000000001e-18
