                                                                     
   wavelen         flux     sky_flux     flux_unc  xpixel    ypixel     response   flag 
   3219.8489 -1.89310e-20  1.26356e-16  7.03765e-18     828   116.880  1.66577e+15  0     
   3221.8406  3.24838e-18  1.21581e-16  6.95582e-18     829   116.880  1.68508e+15  0     
   3223.8330 -1.51624e-17  1.21856e-16  6.54282e-18     830   116.880  1.70267e+15  0     
   3225.8257 -1.85949e-18  1.22779e-16  6.78802e-18     831   116.880  1.71975e+15  0     
   3227.8191  8.18118e-18  1.14095e-16  6.76866e-18     832   116.880  1.73799e+15  0     
   3229.8132 -3.90886e-18  1.17904e-16  6.55408e-18     833   116.880  1.75825e+15  0     
   3231.8079  5.40216e-18  1.19562e-16  6.71665e-18     834   116.880  1.78043e+15  0     
   3233.8030 -9.94339e-19  1.11757e-16  6.38002e-18     835   116.880  1.80441e+15  0     
   3235.7986 -8.00442e-20  1.15750e-16  6.42206e-18     836   116.880  1.82877e+15  0     
   3237.7949 -1.10794e-18  1.07891e-16  6.18757e-18     837   116.880  1.85461e+15  0     
   3239.7915 -2.29708e-19  1.07147e-16  6.13190e-18     838   116.880  1.88180e+15  0     
   3241.7891 -3.03638e-18  1.00692e-16  5.88800e-18     839   116.880  1.90862e+15  0     
   3243.7869 -8.01170e-18  9.96137e-17  5.70820e-18     840   116.880  1.93574e+15  0     
   3245.7854 -6.10394e-18  9.08788e-17  5.51480e-18     841   116.880  1.96114e+15  0     
   3247.7844  8.32297e-18  8.12720e-17  5.56906e-18     842   116.880  1.98663e+15  0     
   3249.7839  6.04133e-18  8.06524e-17  5.45957e-18     843   116.880  2.01316e+15  0     
   3251.7842  5.20996e-18  8.09585e-17  5.39746e-18     844   116.881  2.04184e+15  0     
   3253.7847  5.72979e-18  8.16261e-17  5.36622e-18     845   116.881  2.07416e+15  0     
   3255.7859 -3.75137e-19  9.25606e-17  5.40643e-18     846   116.881  2.10901e+15  0     
   3257.7876  2.41501e-18  9.58787e-17  5.47102e-18     847   116.881  2.14373e+15  0     
   3259.7900  2.09918e-18  1.13372e-16  5.73912e-18     848   116.881  2.18010e+15  0     
   3261.7930  1.09649e-17  1.13987e-16  5.85099e-18     849   116.881  2.21686e+15  0     
