# Template No.           1: sn2005cf (Ia-norm; +47) ; z= 0.132 +/- 0.003
#redshifted_wavelength[A] flux[arbitraty]
   4539.68652       1.13954163    
   4545.83643       1.08547223    
   4551.99463       1.03343129    
   4558.16113      0.986296892    
   4564.33643      0.946257293    
   4570.51953      0.914438486    
   4576.71143      0.890718043    
   4582.91162      0.873788059    
   4589.12012      0.861476541    
   4595.33740      0.851261079    
   4601.56250      0.840856194    
   4607.79639      0.828723311    
   4614.03857      0.814372003    
   4620.28906      0.798372865    
   4626.54834      0.782082617    
   4632.81592      0.767164230    
   4639.09229      0.755044460    
   4645.37695      0.746470153    
   4651.66992      0.741297364    
   4657.97217      0.738575697    
   4664.28223      0.736899316    
   4670.60107      0.734916389    
   4676.92822      0.731832266    
   4683.26367      0.727744401    
   4689.60889      0.723692536    
   4695.96191      0.721399426    
   4702.32373      0.722769082    
   4708.69385      0.729290843    
   4715.07324      0.741531432    
   4721.46045      0.758873582    
   4727.85693      0.779590786    
   4734.26172      0.801243603    
   4740.67529      0.821288526    
   4747.09766      0.837718368    
   4753.52881      0.849548638    
   4759.96826      0.857003927    
   4766.41650      0.861352086    
   4772.87354      0.864443779    
   4779.33984      0.868103027    
   4785.81445      0.873564303    
   4792.29736      0.881132126    
   4798.79004      0.890174985    
   4805.29102      0.899452269    
   4811.80078      0.907669842    
   4818.31982      0.914082050    
   4824.84717      0.918932915    
   4831.38330      0.923582613    
   4837.92871      0.930247545    
   4844.48291      0.941408694    
   4851.04541      0.959042430    
   4857.61768      0.983892202    
   4864.19824       1.01499283    
   4870.78809       1.04959583    
   4877.38623       1.08353853    
   4883.99365       1.11197340    
   4890.61035       1.13028073    
   4897.23535       1.13494372    
   4903.86963       1.12417412    
   4910.51318       1.09815621    
   4917.16553       1.05887568    
   4923.82715       1.00961232    
   4930.49707      0.954246402    
   4937.17676      0.896567047    
   4943.86523      0.839739144    
   4950.56299      0.786027670    
   4957.26953      0.736788869    
   4963.98535      0.692667127    
   4970.70996      0.653888166    
   4977.44434      0.620531499    
   4984.18701      0.592701375    
   4990.93945      0.570564270    
   4997.70068      0.554277301    
   5004.47119      0.543869793    
   5011.25049      0.539150715    
   5018.03955      0.539689720    
   5024.83789      0.544890702    
   5031.64502      0.554124534    
   5038.46143      0.566874623    
   5045.28711      0.582833469    
   5052.12207      0.601919115    
   5058.96582      0.624211371    
   5065.81934      0.649848342    
   5072.68262      0.678937197    
   5079.55469      0.711537361    
   5086.43604      0.747736871    
   5093.32666      0.787804186    
   5100.22656      0.832351685    
   5107.13574      0.882424414    
   5114.05469      0.939440250    
   5120.98242       1.00494373    
   5127.92041       1.08020258    
   5134.86768       1.16574109    
   5141.82324       1.26094449    
   5148.78906       1.36387706    
   5155.76416       1.47140753    
   5162.74902       1.57965708    
   5169.74316       1.68468225    
   5176.74658       1.78322756    
   5183.75977       1.87332392    
   5190.78223       1.95454657    
   5197.81396       2.02781081    
   5204.85547       2.09471989    
   5211.90674       2.15660167    
   5218.96777       2.21350598    
   5226.03809       2.26345444    
   5233.11768       2.30221128    
   5240.20703       2.32371998    
   5247.30615       2.32118154    
   5254.41504       2.28857112    
   5261.53271       2.22223997    
   5268.66113       2.12220478    
   5275.79883       1.99275601    
   5282.94580       1.84218132    
   5290.10254       1.68159032    
   5297.26904       1.52307141    
   5304.44580       1.37757969    
   5311.63184       1.25304520    
   5318.82715       1.15314746    
   5326.03320       1.07706010    
   5333.24805       1.02022314    
   5340.47314      0.975950003    
   5347.70801      0.937468290    
   5354.95264      0.899872303    
   5362.20703      0.861499071    
   5369.47119      0.824370682    
   5376.74561      0.793599844    
   5384.02979      0.775910318    
   5391.32324      0.777660131    
   5398.62744      0.802877069    
   5405.94092      0.851814508    
   5413.26416      0.920401156    
   5420.59814       1.00072539    
   5427.94141       1.08243978    
   5435.29443       1.15473783    
   5442.65771       1.20843267    
   5450.03125       1.23764992    
   5457.41455       1.24077439    
   5464.80762       1.22048759    
   5472.21094       1.18296576    
   5479.62451       1.13650644    
   5487.04736       1.08996558    
   5494.48096       1.05138052    
   5501.92432       1.02705944    
   5509.37793       1.02124131    
   5516.84180       1.03625011    
   5524.31543       1.07293093    
   5531.79932       1.13109350    
   5539.29346       1.20973396    
   5546.79785       1.30692315    
   5554.31152       1.41940439    
   5561.83643       1.54209375    
   5569.37109       1.66774344    
   5576.91602       1.78703237    
   5584.47168       1.88923824    
   5592.03711       1.96347857    
   5599.61230       2.00034261    
   5607.19824       1.99357474    
   5614.79443       1.94143271    
   5622.40137       1.84736383    
   5630.01758       1.71979761    
   5637.64453       1.57103407    
   5645.28174       1.41542149    
   5652.92969       1.26717317    
   5660.58838       1.13825476    
   5668.25635       1.03675032    
   5675.93604      0.965999722    
   5683.62500      0.924629867    
   5691.32471      0.907405615    
   5699.03467      0.906670034    
   5706.75586      0.914037704    
   5714.48584      0.921995997    
   5722.22754      0.925112486    
   5729.97998      0.920667768    
   5737.74219      0.908661127    
   5745.51562      0.891269207    
   5753.29980      0.871932387    
   5761.09326      0.854298949    
   5768.89844      0.841260076    
   5776.71289      0.834267855    
   5784.53906      0.833069265    
   5792.37549      0.835889399    
   5800.22266      0.840011179    
   5808.08008      0.842613578    
   5815.94824      0.841678798    
   5823.82715      0.836739779    
   5831.71680      0.829272807    
   5839.61768      0.822593689    
   5847.52832      0.821225822    
   5855.45020      0.829838932    
   5863.38281      0.851979434    
   5871.32568      0.888901293    
   5879.27979      0.938826084    
   5887.24463      0.996891856    
   5895.22021       1.05591023    
   5903.20605       1.10784161    
   5911.20410       1.14569521    
   5919.21191       1.16540611    
   5927.23047       1.16718268    
   5935.26025       1.15590274    
   5943.30127       1.14034021    
   5951.35205       1.13129485    
   5959.41455       1.13900185    
   5967.48828       1.17043173    
   5975.57275       1.22717643    
   5983.66797       1.30452704    
   5991.77393       1.39208257    
   5999.89111       1.47584999    
   6008.01904       1.54139459    
   6016.15820       1.57730675    
   6024.30859       1.57810891    
   6032.47021       1.54584372    
   6040.64209       1.48987865    
   6048.82617       1.42491972    
   6057.02002       1.36767864    
   6065.22559       1.33301008    
   6073.44238       1.33047414    
   6081.66992       1.36219597    
   6089.90967       1.42255616    
   6098.15918       1.49978316    
   6106.42090       1.57902122    
   6114.69336       1.64607954    
   6122.97705       1.69090044    
   6131.27148       1.70987880    
   6139.57764       1.70647943    
   6147.89502       1.69006383    
   6156.22412       1.67328894    
   6164.56396       1.66880417    
   6172.91504       1.68611491    
   6181.27783       1.72938609    
   6189.65137       1.79668403    
   6198.03711       1.88073885    
   6206.43359       1.97092366    
   6214.84131       2.05584908    
   6223.26123       2.12587619    
   6231.69141       2.17492485    
   6240.13330       2.20121145    
   6248.58740       2.20686531    
   6257.05273       2.19667196    
   6265.52930       2.17639065    
   6274.01660       2.15114522    
   6282.51660       2.12430024    
   6291.02783       2.09702802    
   6299.55078       2.06856203    
   6308.08496       2.03692198    
   6316.63037       1.99982047    
   6325.18750       1.95543647    
   6333.75635       1.90286851    
   6342.33643       1.84220147    
   6350.92871       1.77427220    
   6359.53271       1.70029902    
   6368.14844       1.62156761    
   6376.77490       1.53929663    
   6385.41309       1.45472133    
   6394.06445       1.36933148    
   6402.72607       1.28513539    
   6411.39990       1.20480752    
   6420.08594       1.13162839    
   6428.78320       1.06919229    
   6437.49219       1.02095628    
   6446.21289      0.989758968    
   6454.94629      0.977444589    
   6463.69092      0.984699905    
   6472.44824       1.01112711    
   6481.21582       1.05551231    
   6489.99609       1.11617303    
   6498.78857       1.19126213    
   6507.59229       1.27891552    
   6516.40771       1.37720740    
   6525.23633       1.48393846    
   6534.07617       1.59635651    
   6542.92725       1.71093738    
   6551.79150       1.82334483    
   6560.66699       1.92864156    
   6569.55518       2.02174020    
   6578.45508       2.09802794    
   6587.36719       2.15401864    
   6596.29102       2.18789268    
   6605.22705       2.19978571    
   6614.17578       2.19175410    
   6623.13574       2.16740727    
   6632.10791       2.13128400    
   6641.09326       2.08808517    
   6650.09033       2.04192042    
   6659.09863       1.99570906    
   6668.12012       1.95085001    
   6677.15332       1.90720141    
   6686.19922       1.86337721    
   6695.25684       1.81727374    
   6704.32764       1.76672018    
   6713.40967       1.71011543    
   6722.50439       1.64691746    
   6731.61133       1.57789099    
   6740.73096       1.50506163    
   6749.86279       1.43139958    
   6759.00684       1.36030233    
   6768.16406       1.29500711    
   6777.33252       1.23806190    
   6786.51416       1.19097936    
   6795.70752       1.15414739    
   6804.91357       1.12699831    
   6814.13232       1.10837185    
   6823.36426       1.09695411    
   6832.60791       1.09165299    
   6841.86377       1.09179521    
   6851.13330       1.09708500    
   6860.41455       1.10734904    
   6869.70801       1.12216401    
   6879.01465       1.14051557    
   6888.33398       1.16063762    
   6897.66553       1.18013668    
   6907.01025       1.19641781    
   6916.36719       1.20732462    
   6925.73730       1.21182263    
   6935.11914       1.21051633    
   6944.51465       1.20580518    
   6953.92236       1.20157170    
   6963.34277       1.20241797    
   6972.77637       1.21259344    
   6982.22217       1.23486495    
   6991.68164       1.26961458    
   7001.15283       1.31441212    
   7010.63770       1.36421120    
   7020.13477       1.41215694    
   7029.64600       1.45084667    
   7039.16846       1.47377038    
   7048.70459       1.47660661    
   7058.25391       1.45808887    
   7067.81592       1.42025983    
   7077.39111       1.36808050    
   7086.97852       1.30850732    
   7096.58008       1.24926579    
   7106.19336       1.19759643    
   7115.82080       1.15923083    
   7125.45996       1.13777161    
   7135.11328       1.13454282    
   7144.77930       1.14885616    
   7154.45898       1.17856359    
   7164.15088       1.22072792    
   7173.85645       1.27224612    
   7183.57471       1.33032370    
   7193.30664       1.39274931    
   7203.05127       1.45798683    
   7212.81006       1.52513242    
   7222.58057       1.59379697    
   7232.36523       1.66396177    
   7242.16357       1.73582959    
   7251.97461       1.80966568    
   7261.79883       1.88563108    
   7271.63672       1.96359682    
   7281.48779       2.04296494    
   7291.35205       2.12252831    
   7301.22998       2.20041728    
   7311.12109       2.27416825    
   7321.02490       2.34092999    
   7330.94336       2.39777422    
   7340.87451       2.44206381    
   7350.81934       2.47178960    
   7360.77783       2.48580670    
   7370.74902       2.48391509    
   7380.73486       2.46677399    
   7390.73389       2.43568611    
   7400.74561       2.39231300    
   7410.77246       2.33840322    
   7420.81104       2.27559066    
   7430.86475       2.20530653    
   7440.93164       2.12878704    
   7451.01221       2.04714704    
   7461.10547       1.96146250    
   7471.21338       1.87281561    
   7481.33496       1.78227913    
   7491.47021       1.69085503    
   7501.61914       1.59940112    
   7511.78125       1.50859964    
   7521.95801       1.41899705    
   7532.14844       1.33113122    
   7542.35156       1.24570668    
   7552.56934       1.16375816    
   7562.80127       1.08672702    
   7573.04639       1.01639104    
   7583.30664      0.954629540    
   7593.57959      0.903057218    
   7603.86621      0.862611413    
   7614.16699      0.833207905    
   7624.48242      0.813575745    
   7634.81104      0.801345468    
   7645.15430      0.793398142    
   7655.51172      0.786417723    
   7665.88281      0.777524292    
   7676.26807      0.764840186    
   7686.66748      0.747849762    
   7697.08105      0.727467358    
   7707.50781      0.705795467    
   7717.94922      0.685634673    
   7728.40479      0.669866443    
   7738.87451      0.660855234    
   7749.35840      0.660003245    
   7759.85693      0.667542517    
   7770.36914      0.682584345    
   7780.89648      0.703381062    
   7791.43750      0.727705956    
   7801.99268      0.753248036    
   7812.56250      0.777925551    
   7823.14551      0.800072432    
   7833.74414      0.818492293    
   7844.35645      0.832420647    
   7854.98291      0.841451406    
   7865.62451      0.845485270    
   7876.28076      0.844725013    
   7886.95068      0.839712739    
   7897.63477      0.831368625    
   7908.33398      0.820982277    
   7919.04785      0.810110390    
   7929.77539      0.800369859    
   7940.51807      0.793154895    
   7951.27490      0.789342940    
   7962.04785      0.789073944    
   7972.83350      0.791680336    
   7983.63477      0.795814693    
   7994.44971      0.799768627    
   8005.28076      0.801918626    
   8016.12598      0.801193476    
   8026.98535      0.797439516    
   8037.85938      0.791577518    
   8048.74902      0.785494387    
   8059.65283      0.781677246    
   8070.57080      0.782669425    
   8081.50439      0.790475428    
   8092.45264      0.806064665    
   8103.41553      0.829099834    
   8114.39307      0.857965112    
   8125.38623      0.890091181    
   8136.39307      0.922502458    
   8147.41650      0.952446461    
   8158.45312      0.977952302    
   8169.50586      0.998172522    
   8180.57324       1.01342893    
   8191.65625       1.02495337    
   8202.75293       1.03440106    
   8213.86523       1.04327595    
   8224.99219       1.05243361    
   8236.13574       1.06180954    
   8247.29297       1.07046008    
   8258.46582       1.07692146    
   8269.65430       1.07979226    
   8280.85742       1.07838309    
   8292.07520       1.07323682    
   8303.30859       1.06635094    
   8314.55762       1.06099212    
   8325.82129       1.06110537    
   8337.10059       1.07042646    
   8348.39453       1.09149563    
   8359.70508       1.12482190    
   8371.02930       1.16842258    
   8382.37012       1.21789610    
   8393.72559       1.26705432    
   8405.09668       1.30901396    
   8416.48340       1.33751833    
   8427.88574       1.34820080    
   8439.30273       1.33949912    
   8450.73535       1.31300151    
   8462.18359       1.27314270    
   8473.64746       1.22631454    
   8485.12793       1.17959809    
   8496.62305       1.13941669    
   8508.13281       1.11041307    
   8519.65918       1.09480309    
   8531.20117       1.09232605    
   8542.75879       1.10075879    
   8554.33203       1.11682665    
   8565.91992       1.13724971    
   8577.52441       1.15964270    
   8589.14453       1.18304658    
   8600.78027       1.20798171    
   8612.43164       1.23605001    
   8624.09961       1.26922774    
   8635.78223       1.30907869    
   8647.48242       1.35610497    
   8659.19629       1.40941560    
   8670.92773       1.46677482    
   8682.67383       1.52499187    
   8694.43652       1.58051860    
   8706.21484       1.63007665    
   8718.00977       1.67115426    
   8729.82129       1.70226443    
   8741.64648       1.72294474    
   8753.49023       1.73355794    
   8765.34766       1.73499453    
   8777.22266       1.72838891    
   8789.11328       1.71492732    
   8801.02051       1.69576478    
   8812.94238       1.67201710    
   8824.88184       1.64476037    
   8836.83691       1.61497605    
   8848.80859       1.58342016    
   8860.79590       1.55045438    
   8872.80078       1.51590800    
   8884.82031       1.47907543    
   8896.85742       1.43891144    
   8908.90918       1.39442861    
   8920.97852       1.34521592    
   8933.06348       1.29192626    
   8945.16602       1.23655689    
   8957.28320       1.18237126    
   8969.41797       1.13341844    
   8981.56934       1.09371138    
   8993.73730       1.06626320    
   9005.92090       1.05225253    
   9018.12207       1.05057991    
   9030.33984       1.05799270    
   9042.57227       1.06980097    
   9054.82227       1.08102262    
   9067.08887       1.08765066    
   9079.37305       1.08767128    
   9091.67285       1.08150589    
   9103.98926       1.07170200    
   9116.32227       1.06191874    
   9128.67285       1.05546951    
   9141.03906       1.05384862    
   9153.42285       1.05570447    
   9165.82324       1.05662167    
   9178.24023       1.04986107    
   9190.67383       1.02793109    
   9203.12500      0.984606564    
   9215.59180      0.916858494    
   9228.07715      0.826149464    
   9240.57812      0.718693972    
   9253.09668      0.604561985    
   9265.63281      0.495806336    
   9278.18457      0.404073626    
   9290.75391      0.338295519    
   9303.33984      0.303037375    
   9315.94434      0.297903866    
   9328.56445      0.318098992    
   9341.20215      0.355932266    
   9353.85645      0.402817070    
   9366.52832      0.451193988    
   9379.21777      0.495880872    
   9391.92383      0.534555435    
   9404.64746      0.567355514    
   9417.38770      0.595861256    
   9430.14648      0.621893585    
   9442.92090      0.646596730    
   9455.71289      0.670135379    
   9468.52344      0.692108035    
   9481.35059      0.712492585    
   9494.19531      0.732741177    
   9507.05762      0.756541431    
   9519.93652      0.789853215    
   9532.83398      0.840036869    
   9545.74707      0.914195418    
   9558.68066       1.01712298    
   9571.62891       1.14943182    
   9584.59668       1.30643582    
   9597.58008       1.47820652    
   9610.58301       1.65091157    
   9623.60156       1.80920660    
   9636.63965       1.93914270    
   9649.69434       2.03090072    
   9662.76660       2.08068395    
   9675.85645       2.09130025    
   9688.96582       2.07131171    
   9702.09082       2.03296947    
   9715.23535       1.98946822    
   9728.39551       1.95219553    
   9741.57617       1.92862451    
   9754.77246       1.92129970    
   9767.98730       1.92806220    
   9781.21973       1.94333780    
   9794.47070       1.96005690    
   9807.74023       1.97165632    
   9821.02637       1.97364426    
   9834.33203       1.96438885    
   9847.65430       1.94503188    
   9860.99512       1.91867900    
   9874.35352       1.88920212    
   9887.73145       1.86004543    
   9901.12598       1.83338547    
   9914.54004       1.80983615    
   9927.97070       1.78870428    
   9941.41992       1.76863682    
   9954.88867       1.74839139    
   9968.37402       1.72746086    
   9981.87793       1.70635509    
   9995.40137       1.68183863    
   10008.9414       1.66049087    
   10022.5010       1.64393020    
   10036.0781       1.63303292    
   10049.6758       1.62763286    
   10063.2881       1.62655556    
   10076.9229       1.62795115    
   10090.5742       1.62981641    
   10104.2441       1.63052464    
   10117.9336       1.62920773    
   10131.6387       1.62588537    
   10145.3652       1.62132072    
   10159.1094       1.61667538    
   10172.8721       1.61308098    
   10186.6533       1.61127222    
   10200.4541       1.61138082    
   10214.2715       1.61294436    
   10228.1094       1.61509955    
   10241.9648       1.61688530    
   10255.8408       1.61754799    
   10269.7344       1.61675227    
